Licensee, DBA, Address, Type, License category, Manager
GREAT CHOW 18 ABINGTON INC., GREAT CHOW, 497 BEDFORD ST  ABINGTON  MA 02351, Restaurant, Wine and Malt, Lau  chak sing
FOR PETE'S SAKE INC., ABINGTON ALE HOUSE & GRILL, 1235 BEDFORD ST  ABINGTON  MA 02351, Restaurant, All Alcohol, BARRETT  RICHARD
VIN & EDDIE'S INC., DBA, 1400 BEDFORD ST  ABINGTON  MA 02351, Restaurant, All Alcohol, TRAVI  VINCENT
KAMS GARDEN INC., DBA, 1501 BEDFORD ST  ABINGTON  MA 02351, Restaurant, All Alcohol, LEE  CHIL SEN
TIMBER  LANES INC., DBA, 460 BEDFORD ST.  ABINGTON  MA 02351, Restaurant, All Alcohol, HAMRIC  PHILIP N.
HAN-LEE GROUP INC., J.P. RYAN'S TAVERN, 246 BROCKTON AVE  ABINGTON  MA 02351, Restaurant, All Alcohol, HANLEY  MATTHEW V.
ABINGTON OLD TOWN POST#5737 V.F.W.BLDG.ASSOC.INC, ABINGTON OLD TOWN POST 5737 VFW, 30 CENTRAL STREET  ABINGTON  MA 02351, Veterans Club, All Alcohol, MCDEVITT  WILLIAM T.
D'ANN'S  INC., D'ANN'S RESTAURANT, 340 CENTRE AVE.  ABINGTON  MA 02351, Restaurant, All Alcohol, COCOMAZZI  MICHAEL L.
COLUMBUS CLUB OF ABINGTON INC., DBA, 254 HANCOCK ST  ABINGTON  MA 02351, Club, All Alcohol, CONNOLLY  THOMAS J
TIKI GARDEN INC., DBA, 201 N. QUINCY ST  ABINGTON  MA 02351, Restaurant, All Alcohol, LAI  MAY WAH
CELLAR TAVERN GROUP LLC, THE CELLAR, 221 NORTH AVENUE  ABINGTON  MA 02351, Restaurant, All Alcohol, ELLIOT NATHAN
TOBY & MOLLY INC., LYNCH'S TAVERN, 236 NORTH AVENUE  ABINGTON  MA 02351, Restaurant, All Alcohol, LYNCH  WILLIAM C.
POLISH CLUB OF NORTH ABINGTON INC. THE, DBA, 55 WALES STREET  ABINGTON  MA 02351, Club, All Alcohol, Raples  Peter J.
LEWIS V.DORSEY POST #112 AM.LEG.ABINGTON INC., DBA, 1027 WASHINGTON ST  ABINGTON  MA 02351, Veterans Club, All Alcohol, WHITMAN CHARLES F. JR.
DUKE JSK  INC, ABINGTON DEPOT, 101 RAILROAD ST  ABINGTON  MA 02351, Restaurant, All Alcohol, O'DONOVAN  KATHLEEN
MIA REGAZZA, MIA REGAZZA, 268 WASHINGTON STREET  ABINGTON  MA 02351, Restaurant, All Alcohol, martin  john l
PizZINGS, PizZINGS, 1035 BEDFORD STREET  ABINGTON  MA 02351, Restaurant, Wine and Malt, KESARIS  JOHN
ARTHUR J. McKENNA, PATTY JOE'S PO-BOY CAF•À_•À__, 1209 B BEDORD STREET  ABINGTON  MA 02351, Restaurant, Wine and Malt, McKENNA  ARTHUR J.
CALM GOLF  INC, STRAWBERRY VALLEY GOLF COURSE, 164 WASHINGTON STREET  ABINGTON  MA 02351, General on Premise, Wine and Malt, LANZETTA  CHARLES
DOTTIE'S HOUSE INC., SPENCER'S PIZZA, 123 CENTRE AVENUE  ABINGTON  MA 02351, Restaurant, Wine and Malt, DE MELO PAULA M.
STIX & STONES RESTAURANT, STIX & STONES RESTAURANT  LOUNGE AND BILLIARDS, 800 BROCKTON AVENUE  ABINGTON  MA 02351, Restaurant, All Alcohol, WILLIAMS  ROY R.
PO'S BARBECUE LLC, PO'S BARBECUE, 624 MAIN STREET  ACTON  MA 01720, Restaurant, All Alcohol, PAI  PO P.
NAGOG RESTAURANT CORP, SCUPPER JACK'S, GREAT RD.  ACTON  MA 01720, Restaurant, All Alcohol, MENDOSA  JOHN E.
ACTON SEAFOOD SALES  INC.., ATLANTIC SEA GRILL, 77 GREAT RD.  ACTON  MA 01720, Restaurant, All Alcohol, ZOSHERAFATAIN  KATHERINE B
GERARD M. LABROSSE, DBA, 416 GREAT RD.  ACTON  MA 01720, Restaurant, All Alcohol, 
ACTON JAZZ CAFE  INC, THE ACTON JAZZ CAFE, 452 GREAT RD.  ACTON  MA 01720, Restaurant, All Alcohol, VIVIAN  GWENNN
MAKAHA  INC, MAKAHA, 255 GREAT ROAD  ACTON  MA 01720, Restaurant, All Alcohol, CHENG  RAYMOND
SAHAPANIT CORP., BENJARONG RESTAURANT, 214 MAIN ST.  ACTON  MA 01720, Restaurant, All Alcohol, HORMWARN  WASANT
JAMAN CORPORATION, CROSSROADS, 405 NAGOG SQUARE  ACTON  MA 01720, Restaurant, All Alcohol, MANNING  JOHN J.
WEST LONDON STYLE PEZZA INC., NEW LONDON STYLE PIZZA, 555 MASSACHUSETTS AVE.  ACTON  MA 01720, Restaurant, Wine and Malt, CASSIANI N. BOTTOS
TO BE DETERMINED, SPRIGS, 5 STRAWBERRY HILL RD  ACTON  MA 01720, Restaurant, All Alcohol, SERVEY  MARTHA
CONCORD ACTON SQUASH CLUB  INC., CONCORD ACTON SQUASH CLUB  INC, 29 KNOX TRAIL  ACTON  MA 01720, General on Premise, Wine and Malt, HODGES  O. WAYNE
ROSE J. SALA, DBA, 251 ARLINGTON STREET  ACTON  MA 01720, Restaurant, Wine and Malt, 
DANIELA'S TACORITO  INC., DANIELA'S CANTINA, 208 MAIN STREET  ACTON  MA 01720, Restaurant, All Alcohol, MIRANDA  GERALDO
BICKFORD'S FAMILY RESTAURANTS  INC., BICKFORD'S FAMILY RESTAURANTS, 20 NAGOG PARK  ACTON  MA 01720, Restaurant, All Alcohol, MISSIER  AMY
INDOOR SPORTS MANAGEMENT INC, OVERTIME BAR, 30 GREAT RD  ACTON  MA 01720, Restaurant, All Alcohol, MILHOMME  CATHERINE
QUAIL RIDGE COUNTRY CLUB LLC, QUAIL RIDGE COUNTRY CLUB, SKYLINE DRIVE  ACTON  MA 01720, Restaurant, All Alcohol, SHEA  JENNIFER
NOT YOUR AVERAGE JOE'S   INC, NOT YOUR AVERAGE JOE'S, 291 MAIN ST  ACTON  MA 01720, Restaurant, All Alcohol, Syas  Steven
SALERNO'S REST. INC., SORRENTO'S PIZZERIA, 251 MAIN STREET  ACTON  MA 01720, Restaurant, All Alcohol, BASAL  MOHAMMED
JAGDEEP CORPORATION, MONSOON, 273 GREAT RD  ACTON  MA 01720, Restaurant, All Alcohol, GUHANIA  NARINDER S.
BELLA FAMIGLIA INC., BELLA FAMIGLIA INC., 59 GREAT ROAD  ACTON  MA 01720, Restaurant, All Alcohol, MOTZI JOSEPH J.
GREAT ROAD PUB & GRILLE INC., GREAT ROAD PUB & GRILLE, 166 GREAT ROAD  ACTON  MA 01720, Restaurant, All Alcohol, GEHLERT  KIMBERLY
ACTON BOWLADROME ENTERPRISES INC., DBA, 257 MAIN STREET  ACTON  MA 01720, Restaurant, Wine and Malt, SUNDBERG  LINDSEY
JULIE'S ENTERPRISES LLC, JULIES PLACE, 208A MAIN STREET  ACTON  MA 01720, Restaurant, All Alcohol, SAGANICH JULIE ANN
HONG AN, SPICEPEPPER GARDEN, 36 GREAT ROAD  ACTON  MA 01720, Restaurant, All Alcohol, AN  HONG
ARMAND'S OF SOUTHEASTERN MASS  INC., BLUE POINT RESTAURANT, 6 DAYTON ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, RICCARDI  DAVID
ACUSHNET POST #265 AMER.LEG.DEPT.OF MA.INC., DBA, 71 HOPE ST  ACUSHNET  MA 02743, Veterans Club, All Alcohol, DEMARS  LIONEL
ACUSHNET HIGHLANDER INC. THE, DBA, 789 MAIN ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, PLAUD  LINDA L.
RASCALS INC., BLUE LANTERN CAFE, 605 MAIN STREET  ACUSHNET  MA 02743, Restaurant, All Alcohol, HIPOLITO PAUL
PONDEROSA, PONDEROSA, 242 ROBINSON RD  ACUSHNET  MA 02743, Restaurant, All Alcohol, KOCZERA  STEVEN H
THOMAS E.TUTTLE POST #7239 V.F.W.OF U.S. INC., DBA, 28 ROOSEVELT ST  ACUSHNET  MA 02743, Veterans Club, All Alcohol, PACHECO  RICHARD A.
JT'S PUB  INC, DBA, 77 SLOCUM ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, TAYLOR  ROBERT F.
CENTURY HOUSE INC., DBA, 107 SO. MAIN ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, GOULART  MANUEL A.
M.S. DE SILVA  INC., RIVER'S END CAFE, 7.5 TARKILN HILL RD  ACUSHNET  MA 02743, Restaurant, All Alcohol, DESILVA  SUSAN J.
J J Enterprises Group, DBA, 162 SOUTH MAIN ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, MARMELO  Jose
TOWN OF ACUSHNET, ACUSHNET RIVER VALLEY GOLF COURSE, 685 MAIN ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, PRZYBYSZEWSKI  DANA
KAM CUISINE CORPORATION, KAM'S CUISINE RESTAURANT, 132 SOUTH MAIN ST  ACUSHNET  MA 02743, Restaurant, All Alcohol, LI  EN FEN
GEBIRGS VEREIN  INC, MT. CLUB, 6 ANTHONY ST  ADAMS  MA 01220, Club, All Alcohol, MASSACONI  CHARLES J.  JR
ADAMS LODGE #1335 B.P.O. ELKS, DBA, 63 CENTER ST  ADAMS  MA 01220, Club, All Alcohol, CATRAMBONE  JOSEPH
DENSUE  INC., CHICK'S LUNCH, 128 COLUMBIA ST  ADAMS  MA 01220, Restaurant, All Alcohol, KNAPP  DENNIS E.
COMMERCIAL STREET CAFE  INC, THE VIKING PUB, 077-83 COMMERCIAL ST  ADAMS  MA 01220, Restaurant, All Alcohol, LEE  SCOTT D.
FOREST PARK COUNTRY CLUB INC., DBA, 41 FOREST PARK AVE  ADAMS  MA 01220, Club, All Alcohol, CARDIN  BRUCE E.
NICHOLAS ENTERPRISES  INC., BOUNTI-FARE RESTAURANT, 200 HOWLAND AVE.  ADAMS  MA 01220, Restaurant, All Alcohol, NICHOLAS  DAVID W. JR.
Mak's Grill  Inc, RASCALS, 32 NORTH SUMMER ST.  ADAMS  MA 01220, Restaurant, All Alcohol, Levesque  Marci
ADAMS POST #160 INC. THE AM.LEG.DEPT.OF MA., ADAMS POST # 160, 160 FOREST PARK AVENUE  ADAMS  MA 01220, Veterans Club, All Alcohol, ST. HILAIRE  CLEMENT
RED CARPET RESTAURANT  INC., RED CARPET RESTAURANT, 69 PARK ST  ADAMS  MA 01220, Restaurant, All Alcohol, BARTLETT  ANN M.
ALLMAR ENTERPRISES  INC., C & J SPORTS PUB, 012-14 PLEASANT ST.  ADAMS  MA 01220, Restaurant, All Alcohol, PEKOSZ  CRAIG A.
GRILLE INC. THE, DBA, 77 SUMMER ST.  ADAMS  MA 01220, Restaurant, All Alcohol, PACIOREK  DANIEL
JULIUS SLOWACKI SOCIETY, DBA, 13 VICTORY ST.  ADAMS  MA 01220, Club, All Alcohol, DEAN  ERIC G.
CHEE'S CHINESE CUSINES  INC., DBA, 13 COLUMBIA STREET  ADAMS  MA 01220, Restaurant, Wine and Malt, CHEE  KAI MAN
